Loaded 3382_T.npy: 4918 points
Loaded 4519_T.npy: 4918 points
Loaded 6501_T.npy: 4918 points
Loaded 6758_T.npy: 4918 points
Loaded 7203_T.npy: 4918 points
Loaded 7974_T.npy: 4918 points
Loaded 8306_T.npy: 4918 points
Loaded 9432_T.npy: 4918 points
Loaded 9984_T.npy: 4918 points
Loaded IDX_N225.npy: 4887 points
Total sliding windows: 1339
Train: 1005 samples, Val: 334 samples
Loading model from: model
Froze first 17 of 20 transformer layers
Total params: 231,289,280 | Trainable params: 64,081,360 (27.7%)
Using AdamW optimizer (lr=0.0001, weight_decay=0.01)
Gradient accumulation: 16 steps (effective batch = 128)
LR scheduler: cosine with 5-epoch warmup
  Epoch 7 step 20/126 | loss=0.031685 lr=9.95e-05
  Epoch 7 step 30/126 | loss=0.033465 lr=9.95e-05
  Epoch 7 step 40/126 | loss=0.010629 lr=9.94e-05
  Epoch 7 step 50/126 | loss=0.018854 lr=9.94e-05
  Epoch 7 step 60/126 | loss=0.024415 lr=9.94e-05
  Epoch 7 step 70/126 | loss=0.009908 lr=9.93e-05
  Epoch 7 step 80/126 | loss=0.019488 lr=9.92e-05
  Epoch 7 step 90/126 | loss=0.010377 lr=9.92e-05
  Epoch 7 step 100/126 | loss=0.009970 lr=9.91e-05
  Epoch 7 step 110/126 | loss=0.008918 lr=9.91e-05
  Epoch 7 step 120/126 | loss=0.012601 lr=9.90e-05
Epoch 7 train | loss=0.018788
Epoch 7 val   | loss=0.021652
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 8 step 10/126 | loss=0.030134 lr=9.89e-05
  Epoch 8 step 20/126 | loss=0.010201 lr=9.88e-05
  Epoch 8 step 30/126 | loss=0.015481 lr=9.88e-05
  Epoch 8 step 40/126 | loss=0.036776 lr=9.87e-05
  Epoch 8 step 50/126 | loss=0.008069 lr=9.86e-05
  Epoch 8 step 60/126 | loss=0.007500 lr=9.86e-05
  Epoch 8 step 70/126 | loss=0.017130 lr=9.85e-05
  Epoch 8 step 80/126 | loss=0.015266 lr=9.83e-05
  Epoch 8 step 90/126 | loss=0.013435 lr=9.83e-05
  Epoch 8 step 100/126 | loss=0.016073 lr=9.82e-05
  Epoch 8 step 110/126 | loss=0.015740 lr=9.82e-05
  Epoch 8 step 120/126 | loss=0.050972 lr=9.81e-05
Epoch 8 train | loss=0.017598
Epoch 8 val   | loss=0.020625
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 9 step 10/126 | loss=0.009076 lr=9.79e-05
  Epoch 9 step 20/126 | loss=0.020175 lr=9.78e-05
  Epoch 9 step 30/126 | loss=0.024532 lr=9.78e-05
  Epoch 9 step 40/126 | loss=0.014410 lr=9.76e-05
  Epoch 9 step 50/126 | loss=0.008374 lr=9.75e-05
  Epoch 9 step 60/126 | loss=0.011397 lr=9.75e-05
  Epoch 9 step 70/126 | loss=0.015048 lr=9.73e-05
  Epoch 9 step 80/126 | loss=0.013845 lr=9.72e-05
  Epoch 9 step 90/126 | loss=0.053015 lr=9.72e-05
  Epoch 9 step 100/126 | loss=0.027964 lr=9.70e-05
  Epoch 9 step 110/126 | loss=0.013001 lr=9.70e-05
  Epoch 9 step 120/126 | loss=0.003409 lr=9.68e-05
Epoch 9 train | loss=0.016688
Epoch 9 val   | loss=0.020099
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 10 step 10/126 | loss=0.003409 lr=9.66e-05
  Epoch 10 step 20/126 | loss=0.007520 lr=9.65e-05
