Loaded 4063_T.npy: 4917 points
Loaded 6146_T.npy: 4917 points
Loaded 6501_T.npy: 4917 points
Loaded 6723_T.npy: 4917 points
Loaded 6758_T.npy: 4917 points
Loaded 6857_T.npy: 4917 points
Loaded 7203_T.npy: 4917 points
Loaded 7267_T.npy: 4917 points
Loaded 7735_T.npy: 4917 points
Loaded IDX_N225.npy: 4887 points
Total sliding windows: 1339
Train: 1005 samples, Val: 334 samples
Loading model from: model
Froze first 17 of 20 transformer layers
Total params: 231,289,280 | Trainable params: 64,081,360 (27.7%)
Using AdamW optimizer (lr=0.0001, weight_decay=0.01)
Gradient accumulation: 16 steps (effective batch = 128)
LR scheduler: cosine with 5-epoch warmup
  Epoch 1 step 10/126 | loss=0.019766 lr=0.00e+00
  Epoch 1 step 20/126 | loss=0.077911 lr=2.86e-06
  Epoch 1 step 30/126 | loss=0.015720 lr=2.86e-06
  Epoch 1 step 40/126 | loss=0.041835 lr=5.71e-06
  Epoch 1 step 50/126 | loss=0.109921 lr=8.57e-06
  Epoch 1 step 60/126 | loss=0.022792 lr=8.57e-06
  Epoch 1 step 70/126 | loss=0.010315 lr=1.14e-05
  Epoch 1 step 80/126 | loss=0.062779 lr=1.43e-05
  Epoch 1 step 90/126 | loss=0.073353 lr=1.43e-05
  Epoch 1 step 100/126 | loss=0.017341 lr=1.71e-05
  Epoch 1 step 110/126 | loss=0.109294 lr=1.71e-05
  Epoch 1 step 120/126 | loss=0.029617 lr=2.00e-05
Epoch 1 train | loss=0.039472
Epoch 1 val   | loss=0.047678
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t3_r1a\best
  Epoch 2 step 10/126 | loss=0.019284 lr=2.29e-05
  Epoch 2 step 20/126 | loss=0.033184 lr=2.57e-05
  Epoch 2 step 30/126 | loss=0.039263 lr=2.57e-05
  Epoch 2 step 40/126 | loss=0.086903 lr=2.86e-05
  Epoch 2 step 50/126 | loss=0.031885 lr=3.14e-05
  Epoch 2 step 60/126 | loss=0.015051 lr=3.14e-05
  Epoch 2 step 70/126 | loss=0.029738 lr=3.43e-05
